alert_id,language,system,pfi,ifi,ofs,segments_count,export_timestamp
EVACUATION-CA-20260208-06,hi,nllb200,0.0,1.5,0.75,2,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-07,es,google_nmt,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-07,es,gpt4o,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-07,es,nllb200,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-07,hi,google_nmt,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-07,hi,gpt4o,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-07,hi,nllb200,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-08,es,google_nmt,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-08,es,gpt4o,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-08,es,nllb200,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-08,hi,google_nmt,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-08,hi,gpt4o,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-08,hi,nllb200,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-09,es,google_nmt,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-09,es,gpt4o,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-09,es,nllb200,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-09,hi,google_nmt,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-09,hi,gpt4o,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-09,hi,nllb200,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-10,es,google_nmt,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-10,es,gpt4o,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-10,es,nllb200,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-10,hi,google_nmt,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-10,hi,gpt4o,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
